->ÊHEALTH EDUCATION BASIC HIV TRANSMISSION (99169),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION BASIC HIV TRANSMISSION COMMENTS (99201),Text
->ÊHEALTH EDUCATION PREVENTION ABSTINENCE SAFER SEX CONDOM (99170),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION PREVENTION ABSTINENCE SAFER SEX CONDOM COMMENTS (99203),Text
->ÊHEALTH EDUCATION PREVENTION HOUSEHOLD PRECAUTIONS (99171),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION PREVENTION HOUSEHOLD PRECAUTIONS COMMENTS (99205),Text
->ÊHEALTH EDUCATION POST TEST COUNSELLING RESULT IMPLICATIONS (99172),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION POST TEST COUNSELLING RESULT IMPLICATIONS COMMENTS (99207),Text
->ÊHEALTH EDUCATION POSITIVE LIVING (99173),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION POSITIVE LIVING COMMENTS (99209),Text
->ÊHEALTH EDUCATION PARTNER TESTING (99174),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION PARTNER TESTING COMMENTS (99211),Text
->ÊHEALTH EDUCATION DISCLOSURE (99175),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION DISCLOSURE COMMENTS (99213),Text
->ÊHEALTH EDUCATION FAMILY LIVING SITUATION (99176),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION FAMILY LIVING SITUATION COMMENTS (99215),Text
->ÊHEALTH EDUCATION SHARED CONFIDENTIALITY (99177),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION SHARED CONFIDENTIALITY COMMENTS (99217),Text
->ÊHEALTH EDUCATION PREVENTION MTCT (99178),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION PREVENTION MTCT COMMENTS (99219),Text
->ÊHEALTH EDUCATION CHILD BLOOD TEST (99179),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION CHILD BLOOD TEST COMMENTS (99221),Text
->ÊHEALTH EDUCATION PROGRESSION OF DISEASE (99180),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION PROGRESSION OF DISEASE COMMENTS (99223),Text
->ÊHEALTH EDUCATION MALARIA PREVENTION (99181),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION MALARIA PREVENTION COMMENTS (99225),Text
->ÊHEALTH EDUCATION AVAILABLE TREATMENT OR PROPHYLAXIS (99182),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION AVAILABLE TREATMENT OR PROPHYLAXIS COMMENTS (99227),Text
->ÊHEALTH EDUCATION FOLLOW UP APPOINTMENTS (99183),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION FOLLOW UP APPOINTMENTS COMMENTS (99229),Text
->ÊHEALTH EDUCATION ART ESSENTIALS (99184),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION ART ESSENTIALS COMMENTS (99231),Text
->ÊHEALTH EDUCATION COMPLETE ADHERENCE (99185),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION COMPLETE ADHERENCE COMMENTS (99232),Text
->ÊHEALTH EDUCATION ADHERENCE PREPARATION (99191),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION ADHERENCE PREPARATION COMMENTS (99235),Text
->ÊHEALTH EDUCATION ART READY (99186),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION ART READY COMMENTS (99237),Text
->ÊHEALTH EDUCATION DOSAGE (99187),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION DOSAGE COMMENTS (99239),Text
->ÊHEALTH EDUCATION SIDE EFFECT MANAGEMENT (99188),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION SIDE EFFECT MANAGEMENT COMMENTS (99241),Text
->ÊHEALTH EDUCATION FORGETTING DOSAGE (99189),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION FORGETTING DOSAGE COMMENTS (99243),Text
->ÊHEALTH EDUCATION TRAVEL (99190),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION TRAVEL COMMENTS (99245),Text
->ÊHEALTH EDUCATION ADHERENCE PLAN (99246),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION ADHERENCE PLAN COMMENTS (99247),Text
->ÊHEALTH EDUCATION TREATMENT SUPPORTER PREPARATION (99192),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION TREATMENT SUPPORTER PREPARATION COMMENTS (99250),Text
->ÊHEALTH EDUCATION ARV SUPPORT GROUP (99194),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION ARV SUPPORT GROUP COMMENTS (99254),Text
->ÊHEALTH EDUCATION CLINIC CONTACT (99195),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION CLINIC CONTACT COMMENTS (99256),Text
->ÊHEALTH EDUCATION SYMPTOM MANAGEMENT PALLIATIVE CARE (99196),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION SYMPTOM MANAGEMENT PALLIATIVE CARE COMMENTS (99258),Text
->ÊHEALTH EDUCATION CARE GIVER BOOKLET (99197),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION CARE GIVER BOOKLET COMMENTS (99260),Text
->ÊHEALTH EDUCATION COMMUNITY SUPPORT GROUP (99199),YES ->ÊYES (90003)
->ÊHEALTH EDUCATION COMMUNITY SUPPORT GROUP COMMENTS (99264),Text